"filename", "language", "JSON", "JavaScript", "Markdown", "XML", "TypeScript", "comment", "blank", "total"
"c:\Users\Connor\Documents\GitHub\Chika\.idea\Chika.iml", "XML", 0, 0, 0, 12, 0, 0, 0, 12
"c:\Users\Connor\Documents\GitHub\Chika\.idea\codeStyles\codeStyleConfig.xml", "XML", 0, 0, 0, 5, 0, 0, 0, 5
"c:\Users\Connor\Documents\GitHub\Chika\.idea\modules.xml", "XML", 0, 0, 0, 8, 0, 0, 0, 8
"c:\Users\Connor\Documents\GitHub\Chika\.idea\vcs.xml", "XML", 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\Connor\Documents\GitHub\Chika\.idea\workspace.xml", "XML", 0, 0, 0, 71, 0, 0, 0, 71
"c:\Users\Connor\Documents\GitHub\Chika\README.md", "Markdown", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Connor\Documents\GitHub\Chika\dist\bot.js", "JavaScript", 0, 28, 0, 0, 0, 0, 1, 29
"c:\Users\Connor\Documents\GitHub\Chika\dist\commands\configuration\autorole.js", "JavaScript", 0, 40, 0, 0, 0, 0, 1, 41
"c:\Users\Connor\Documents\GitHub\Chika\dist\commands\configuration\goodbye.js", "JavaScript", 0, 62, 0, 0, 0, 0, 1, 63
"c:\Users\Connor\Documents\GitHub\Chika\dist\commands\configuration\language.js", "JavaScript", 0, 37, 0, 0, 0, 0, 1, 38
"c:\Users\Connor\Documents\GitHub\Chika\dist\commands\configuration\prefix.js", "JavaScript", 0, 36, 0, 0, 0, 0, 1, 37
"c:\Users\Connor\Documents\GitHub\Chika\dist\commands\configuration\welcome.js", "JavaScript", 0, 62, 0, 0, 0, 0, 1, 63
"c:\Users\Connor\Documents\GitHub\Chika\dist\commands\developer\blacklist.js", "JavaScript", 0, 35, 0, 0, 0, 0, 1, 36
"c:\Users\Connor\Documents\GitHub\Chika\dist\commands\developer\eval.js", "JavaScript", 0, 60, 0, 0, 0, 3, 1, 64
"c:\Users\Connor\Documents\GitHub\Chika\dist\commands\developer\server.js", "JavaScript", 0, 36, 0, 0, 0, 0, 1, 37
"c:\Users\Connor\Documents\GitHub\Chika\dist\commands\developer\update.js", "JavaScript", 0, 68, 0, 0, 0, 1, 1, 70
"c:\Users\Connor\Documents\GitHub\Chika\dist\commands\economy\coins.js", "JavaScript", 0, 25, 0, 0, 0, 0, 1, 26
"c:\Users\Connor\Documents\GitHub\Chika\dist\commands\economy\daily.js", "JavaScript", 0, 56, 0, 0, 0, 0, 1, 57
"c:\Users\Connor\Documents\GitHub\Chika\dist\commands\economy\monthly.js", "JavaScript", 0, 59, 0, 0, 0, 0, 1, 60
"c:\Users\Connor\Documents\GitHub\Chika\dist\commands\economy\weekly.js", "JavaScript", 0, 59, 0, 0, 0, 0, 1, 60
"c:\Users\Connor\Documents\GitHub\Chika\dist\commands\economy\yen.js", "JavaScript", 0, 26, 0, 0, 0, 0, 1, 27
"c:\Users\Connor\Documents\GitHub\Chika\dist\commands\fun\anime.js", "JavaScript", 0, 46, 0, 0, 0, 0, 1, 47
"c:\Users\Connor\Documents\GitHub\Chika\dist\commands\fun\say.js", "JavaScript", 0, 26, 0, 0, 0, 0, 1, 27
"c:\Users\Connor\Documents\GitHub\Chika\dist\commands\fun\ship.js", "JavaScript", 0, 125, 0, 0, 0, 0, 1, 126
"c:\Users\Connor\Documents\GitHub\Chika\dist\commands\fun\someone.js", "JavaScript", 0, 15, 0, 0, 0, 0, 1, 16
"c:\Users\Connor\Documents\GitHub\Chika\dist\commands\game\bannedword.js", "JavaScript", 0, 29, 0, 0, 0, 0, 1, 30
"c:\Users\Connor\Documents\GitHub\Chika\dist\commands\general\help.js", "JavaScript", 0, 151, 0, 0, 0, 5, 1, 157
"c:\Users\Connor\Documents\GitHub\Chika\dist\commands\general\info.js", "JavaScript", 0, 77, 0, 0, 0, 0, 1, 78
"c:\Users\Connor\Documents\GitHub\Chika\dist\commands\image\anal.js", "JavaScript", 0, 50, 0, 0, 0, 0, 1, 51
"c:\Users\Connor\Documents\GitHub\Chika\dist\commands\image\boobs.js", "JavaScript", 0, 50, 0, 0, 0, 0, 1, 51
"c:\Users\Connor\Documents\GitHub\Chika\dist\commands\image\cat.js", "JavaScript", 0, 45, 0, 0, 0, 0, 1, 46
"c:\Users\Connor\Documents\GitHub\Chika\dist\commands\image\dog.js", "JavaScript", 0, 45, 0, 0, 0, 0, 1, 46
"c:\Users\Connor\Documents\GitHub\Chika\dist\commands\image\feet.js", "JavaScript", 0, 50, 0, 0, 0, 0, 1, 51
"c:\Users\Connor\Documents\GitHub\Chika\dist\commands\image\fox.js", "JavaScript", 0, 45, 0, 0, 0, 0, 1, 46
"c:\Users\Connor\Documents\GitHub\Chika\dist\commands\image\hentai.js", "JavaScript", 0, 50, 0, 0, 0, 0, 1, 51
